event_id,state_reconstruction_status,replacement_status,sufficiency_status,included_in_lower,included_in_realistic,not_counted_reason
program_completion_stable_codex-event-13,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-24,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-26,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-27,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-48,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-50,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-109,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-123,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-125,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-141,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-143,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-158,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-160,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-188,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-209,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-211,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-243,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-267,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-269,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-303,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-305,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-333,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-336,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-376,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-378,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-418,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-446,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-473,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-485,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-562,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-563,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-577,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-640,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-649,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-651,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-677,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-679,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-701,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
program_completion_stable_codex-event-736,EXACT,MEASURED_NOT_BENEFICIAL,SUFFICIENT,False,False,compact answer is not smaller than raw output
